composer,piece,n,S,A,W
Mozart,K333-3_reviewed,368,0.6059782608695652,0.21467391304347827,0.1793478260869565
Mozart,K457-1_reviewed,226,0.3495575221238938,0.3584070796460177,0.2920353982300885
Mozart,K457-2_reviewed,160,0.48125,0.175,0.34375
Mozart,K457-3_reviewed,270,0.42592592592592593,0.35185185185185186,0.2222222222222222
Mozart,K533-1_reviewed,439,0.45785876993166286,0.37813211845102507,0.16400911161731208
Mozart,K533-2_reviewed,185,0.5513513513513514,0.2702702702702703,0.1783783783783784
Mozart,K533-3_reviewed,320,0.54375,0.221875,0.234375
Mozart,K545-1_reviewed,96,0.6145833333333334,0.125,0.2604166666666667
Mozart,K545-2_reviewed,113,0.4690265486725664,0.21238938053097345,0.3185840707964602
Mozart,K545-3_reviewed,116,0.646551724137931,0.1810344827586207,0.1724137931034483
Mozart,K570-1_reviewed,208,0.5144230769230769,0.1875,0.2980769230769231
Mozart,K570-2_reviewed,189,0.582010582010582,0.20634920634920634,0.21164021164021163
Mozart,K570-3_reviewed,210,0.5285714285714286,0.3,0.17142857142857143
Mozart,K576-1_reviewed,224,0.40625,0.32142857142857145,0.27232142857142855
Mozart,K576-2_reviewed,107,0.4392523364485981,0.2897196261682243,0.27102803738317754
Mozart,K576-3_reviewed,321,0.4766355140186916,0.32398753894080995,0.19937694704049844
Beethoven,01-1_reviewed,160,0.575,0.275,0.15
Beethoven,01-2_reviewed,122,0.45081967213114754,0.319672131147541,0.22950819672131148
Beethoven,01-3_reviewed,101,0.32673267326732675,0.48514851485148514,0.18811881188118812
Beethoven,01-4_reviewed,265,0.539622641509434,0.19245283018867926,0.2679245283018868
Beethoven,02-1_reviewed,363,0.39118457300275483,0.34710743801652894,0.26170798898071623
Beethoven,02-2_reviewed,164,0.5121951219512195,0.25609756097560976,0.23170731707317074
Beethoven,02-3_reviewed,89,0.43820224719101125,0.30337078651685395,0.25842696629213485
Beethoven,02-4_reviewed,218,0.5825688073394495,0.15137614678899083,0.26605504587155965
Beethoven,03-1_reviewed,331,0.486404833836858,0.2809667673716012,0.2326283987915408
Beethoven,03-2_reviewed,179,0.5027932960893855,0.3128491620111732,0.18435754189944134
Beethoven,03-3_reviewed,136,0.3602941176470588,0.40441176470588236,0.23529411764705882
Beethoven,03-4_reviewed,710,0.3267605633802817,0.4352112676056338,0.2380281690140845
Beethoven,05-1_reviewed,210,0.4238095238095238,0.319047619047619,0.2571428571428571
Beethoven,05-2_reviewed,139,0.5323741007194245,0.18705035971223022,0.2805755395683453
Beethoven,05-3_reviewed,238,0.5084033613445378,0.2815126050420168,0.21008403361344538
Beethoven,06-1_reviewed,210,0.5238095238095238,0.20952380952380953,0.26666666666666666
Beethoven,06-2_reviewed,164,0.6341463414634146,0.2621951219512195,0.10365853658536585
Beethoven,06-3_reviewed,237,0.3924050632911392,0.2742616033755274,0.3333333333333333
Beethoven,07-1_reviewed,447,0.4697986577181208,0.2975391498881432,0.232662192393736
Beethoven,07-2_reviewed,168,0.43452380952380953,0.35119047619047616,0.21428571428571427
