composer,piece,S->S,S->A,S->W,A->S,A->A,A->W,W->S,W->A,W->W
Bach,BWV1011_04_Sarabande_reviewed,0.3684210526315789,0.05263157894736842,0.21052631578947367,0.15789473684210525,0.0,0.0,0.15789473684210525,0.05263157894736842,0.0
Bach,BWV1011_05_GavotteI_reviewed,0.24489795918367346,0.16326530612244897,0.10204081632653061,0.1836734693877551,0.14285714285714285,0.02040816326530612,0.061224489795918366,0.061224489795918366,0.02040816326530612
Bach,BWV1011_06_GavotteII_reviewed,0.0196078431372549,0.0784313725490196,0.09803921568627451,0.058823529411764705,0.13725490196078433,0.2549019607843137,0.11764705882352941,0.17647058823529413,0.058823529411764705
Bach,BWV1011_07_Gique_reviewed,0.1568627450980392,0.19607843137254902,0.0196078431372549,0.1568627450980392,0.2549019607843137,0.09803921568627451,0.09803921568627451,0.0196078431372549,0.0
Bach,BWV1012_01_Prelude_reviewed,0.2892561983471074,0.19008264462809918,0.09090909090909091,0.1487603305785124,0.10743801652892562,0.04132231404958678,0.09090909090909091,0.04132231404958678,0.0
Bach,BWV1012_02_Allemande_reviewed,0.4528301886792453,0.16981132075471697,0.07547169811320754,0.1320754716981132,0.0,0.03773584905660377,0.07547169811320754,0.03773584905660377,0.018867924528301886
Bach,BWV1012_03_Courante_reviewed,0.27941176470588236,0.11764705882352941,0.10294117647058823,0.14705882352941177,0.10294117647058823,0.07352941176470588,0.058823529411764705,0.10294117647058823,0.014705882352941176
Bach,BWV1012_04_Sarabande_reviewed,0.26666666666666666,0.16666666666666666,0.03333333333333333,0.13333333333333333,0.2,0.1,0.06666666666666667,0.03333333333333333,0.0
Bach,BWV1012_05_GavotteI_reviewed,0.48936170212765956,0.0851063829787234,0.10638297872340426,0.1276595744680851,0.10638297872340426,0.0,0.0425531914893617,0.0425531914893617,0.0
Bach,BWV1012_06_GavotteII_reviewed,0.15,0.15,0.3,0.0,0.025,0.05,0.3,0.025,0.0
Bach,BWV1012_07_Gique_reviewed,0.39622641509433965,0.07547169811320754,0.1320754716981132,0.05660377358490566,0.0,0.05660377358490566,0.2641509433962264,0.018867924528301886,0.0
Bach,BWV1013_01_Allemande_reviewed,0.16393442622950818,0.14754098360655737,0.07377049180327869,0.1557377049180328,0.21311475409836064,0.09836065573770492,0.05737704918032787,0.09016393442622951,0.0
Bach,BWV1013_02_Corrente_reviewed,0.5287356321839081,0.11494252873563218,0.05747126436781609,0.11494252873563218,0.04597701149425287,0.022988505747126436,0.05747126436781609,0.05747126436781609,0.0
Bach,BWV1013_03_Sarabande_reviewed,0.25,0.17307692307692307,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.057692307692307696,0.09615384615384616,0.057692307692307696,0.019230769230769232
Bach,BWV1013_04_BourreeAnglaise_reviewed,0.34328358208955223,0.08955223880597014,0.208955223880597,0.1044776119402985,0.05970149253731343,0.0,0.14925373134328357,0.029850746268656716,0.014925373134328358
Mozart,K279-1_reviewed,0.2987012987012987,0.16883116883116883,0.14935064935064934,0.16233766233766234,0.03896103896103896,0.012987012987012988,0.11038961038961038,0.045454545454545456,0.012987012987012988
Mozart,K279-2_reviewed,0.08139534883720931,0.1511627906976744,0.16279069767441862,0.13953488372093023,0.11627906976744186,0.08139534883720931,0.13953488372093023,0.12790697674418605,0.0
Mozart,K279-3_reviewed,0.16049382716049382,0.13991769547325103,0.1646090534979424,0.20164609053497942,0.1522633744855967,0.00823045267489712,0.12345679012345678,0.0411522633744856,0.00823045267489712
Mozart,K280-1_reviewed,0.2073170731707317,0.12804878048780488,0.18292682926829268,0.10975609756097561,0.14634146341463414,0.012195121951219513,0.18292682926829268,0.018292682926829267,0.012195121951219513
Mozart,K280-2_reviewed,0.1346153846153846,0.23076923076923078,0.057692307692307696,0.21153846153846154,0.17307692307692307,0.038461538461538464,0.057692307692307696,0.07692307692307693,0.019230769230769232
Mozart,K280-3_reviewed,0.09271523178807947,0.09933774834437085,0.13245033112582782,0.09271523178807947,0.32450331125827814,0.046357615894039736,0.152317880794702,0.059602649006622516,0.0
Mozart,K281-1_reviewed,0.26126126126126126,0.10810810810810811,0.13513513513513514,0.10810810810810811,0.11711711711711711,0.05405405405405406,0.13513513513513514,0.04504504504504504,0.036036036036036036
Mozart,K281-2_reviewed,0.18181818181818182,0.12987012987012986,0.12987012987012986,0.11688311688311688,0.1038961038961039,0.09090909090909091,0.14285714285714285,0.09090909090909091,0.012987012987012988
Mozart,K281-3_reviewed,0.22727272727272727,0.1590909090909091,0.1318181818181818,0.1590909090909091,0.10454545454545454,0.05,0.08636363636363636,0.08181818181818182,0.0
