mc,mc_onset,timesig,label,root,mc_onset_numeric,timesig_numeric,root_diff,progression_type_simple,annotation_dur,prog_weight,bigram_prog_weight,3-gram_progs,3-gram_weight
24,3/4,12/8,V,4.0,0.75,1.5,0.0,I,0.375,0.9375,2.0625,"(-1, 0, 0)",2.0625
24,1,12/8,V6,4.0,1.0,1.5,0.0,I,0.1875,0.5625,1.5,"(0, 0, 0)",1.5
24,9/8,12/8,I,3.0,1.125,1.5,-1.0,S,0.1875,0.375,0.9375,"(0, 0, -1)",0.9375
24,5/4,12/8,V65,4.0,1.25,1.5,1.0,W,-0.375,-0.1875,0.1875,"(0, -1, 1)",0.1875
25,0,12/8,I,3.0,0.0,1.5,-1.0,S,0.5625,0.1875,0.0,"(-1, 1, -1)",0.0
25,3/8,12/8,I6,3.0,0.375,1.5,0.0,I,0.5625,1.125,1.3125,"(1, -1, 0)",1.3125
25,3/4,12/8,I,3.0,0.75,1.5,0.0,I,0.375,0.9375,2.0625,"(-1, 0, 0)",2.0625
25,1,12/8,I6,3.0,1.0,1.5,0.0,I,0.1875,0.5625,1.5,"(0, 0, 0)",1.5
25,9/8,12/8,IV,2.0,1.125,1.5,-1.0,S,0.1875,0.375,0.9375,"(0, 0, -1)",0.9375
25,5/4,12/8,V65/IV,3.0,1.25,1.5,1.0,W,-0.375,-0.1875,0.1875,"(0, -1, 1)",0.1875
26,0,12/8,IV,2.0,0.0,1.5,-1.0,S,0.5625,0.1875,0.0,"(-1, 1, -1)",0.0
26,3/8,12/8,IV6,2.0,0.375,1.5,0.0,I,0.5625,1.125,1.3125,"(1, -1, 0)",1.3125
26,3/4,12/8,IV,2.0,0.75,1.5,0.0,I,0.5625,1.125,2.25,"(-1, 0, 0)",2.25
26,9/8,12/8,ii7,5.0,1.125,1.5,3.0,S,-0.1875,0.375,1.5,"(0, 0, 3)",1.5
27,0,12/8,V7,4.0,0.0,1.5,-1.0,S,0.5625,0.375,0.75,"(0, 3, -1)",0.75
27,3/8,12/8,V(64),4.0,0.375,1.5,0.0,I,0.5625,1.125,1.5,"(3, -1, 0)",1.5
27,3/4,12/8,V(4),4.0,0.75,1.5,0.0,I,0.5625,1.125,2.25,"(-1, 0, 0)",2.25
27,9/8,12/8,V,4.0,1.125,1.5,0.0,I,0.1875,0.75,1.875,"(0, 0, 0)",1.875
27,5/4,12/8,I64,3.0,1.25,1.5,-1.0,S,0.1875,0.375,1.125,"(0, 0, -1)",1.125
27,11/8,12/8,IV,2.0,1.375,1.5,-1.0,S,-0.5625,-0.375,0.0,"(0, -1, -1)",0.0
28,0,12/8,viio/IV,7.0,0.0,1.5,5.0,A,0.5625,0.0,-0.375,"(-1, -1, 5)",-0.375
28,3/8,12/8,V7/IV,3.0,0.375,1.5,-4.0,S,0.5625,1.125,1.125,"(-1, 5, -4)",1.125
28,3/4,12/8,IV(9),2.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,"(5, -4, -1)",2.25
28,9/8,12/8,IV,2.0,1.125,1.5,0.0,I,0.1875,0.75,1.875,"(-4, -1, 0)",1.875
28,5/4,12/8,ii,5.0,1.25,1.5,3.0,S,-0.375,-0.1875,0.5625,"(-1, 0, 3)",0.5625
29,0,12/8,V65,4.0,0.0,1.5,-1.0,S,0.5625,0.1875,0.0,"(0, 3, -1)",0.0
29,3/8,12/8,I,3.0,0.375,1.5,-1.0,S,0.1875,0.75,0.9375,"(3, -1, -1)",0.9375
29,1/2,12/8,I6,3.0,0.5,1.5,0.0,I,0.375,0.5625,1.3125,"(-1, -1, 0)",1.3125
29,3/4,12/8,IVM65,2.0,0.75,1.5,-1.0,S,0.5625,0.9375,1.5,"(-1, 0, -1)",1.5
29,9/8,12/8,viio,8.0,1.125,1.5,6.0,S,-0.1875,0.375,1.3125,"(0, -1, 6)",1.3125
30,0,12/8,I(9),3.0,0.0,1.5,-5.0,A,0.5625,0.375,0.75,"(-1, 6, -5)",0.75
30,3/8,12/8,V7/IV,3.0,0.375,1.5,0.0,I,0.5625,1.125,1.5,"(6, -5, 0)",1.5
30,3/4,12/8,IVM7,2.0,0.75,1.5,-1.0,S,0.5625,1.125,2.25,"(-5, 0, -1)",2.25
30,9/8,12/8,V65/V,5.0,1.125,1.5,3.0,S,-0.1875,0.375,1.5,"(0, -1, 3)",1.5
31,0,12/8,V|HC}{,4.0,0.0,1.5,-1.0,S,0.75,0.5625,0.9375,"(-1, 3, -1)",0.9375
31,1/2,12/8,I6,3.0,0.5,1.5,-1.0,S,0.375,1.125,1.6875,"(3, -1, -1)",1.6875
31,3/4,12/8,V65,4.0,0.75,1.5,1.0,W,0.375,0.75,1.875,"(-1, -1, 1)",1.875
31,1,12/8,I,3.0,1.0,1.5,-1.0,S,0.1875,0.5625,1.3125,"(-1, 1, -1)",1.3125
31,9/8,12/8,viio,8.0,1.125,1.5,5.0,A,0.375,0.5625,1.125,"(1, -1, 5)",1.125
31,11/8,12/8,vi,6.0,1.375,1.5,-2.0,A,-0.5625,-0.1875,0.375,"(-1, 5, -2)",0.375
32,0,12/8,V7,4.0,0.0,1.5,-2.0,A,0.375,-0.1875,-0.375,"(5, -2, -2)",-0.375
32,1/4,12/8,vi,6.0,0.25,1.5,2.0,A,0.1875,0.5625,0.375,"(-2, -2, 2)",0.375
32,3/8,12/8,V65,4.0,0.375,1.5,-2.0,A,0.375,0.5625,1.125,"(-2, 2, -2)",1.125
32,5/8,12/8,vi6,6.0,0.625,1.5,2.0,A,0.1875,0.5625,1.125,"(2, -2, 2)",1.125
32,3/4,12/8,V7,4.0,0.75,1.5,-2.0,A,0.375,0.5625,1.125,"(-2, 2, -2)",1.125
33,0,12/8,viio,8.0,0.0,1.5,4.0,W,0.375,0.75,1.3125,"(2, -2, 4)",1.3125
33,1/4,12/8,V7,4.0,0.25,1.5,-4.0,S,0.1875,0.5625,1.3125,"(-2, 4, -4)",1.3125
33,3/8,12/8,I(9),3.0,0.375,1.5,-1.0,S,0.375,0.5625,1.125,"(4, -4, -1)",1.125
33,5/8,12/8,viio/IV,7.0,0.625,1.5,4.0,W,0.1875,0.5625,1.125,"(-4, -1, 4)",1.125
33,3/4,12/8,IVM7,2.0,0.75,1.5,-5.0,A,0.5625,0.75,1.3125,"(-1, 4, -5)",1.3125
33,9/8,12/8,iio6,5.0,1.125,1.5,3.0,S,-0.1875,0.375,1.125,"(4, -5, 3)",1.125
34,0,12/8,V(b9),4.0,0.0,1.5,-1.0,S,0.9375,0.75,1.125,"(-5, 3, -1)",1.125
34,5/8,12/8,V,4.0,0.625,1.5,0.0,I,0.1875,1.125,1.875,"(3, -1, 0)",1.875
34,3/4,12/8,V(64),4.0,0.75,1.5,0.0,I,0.5625,0.75,1.875,"(-1, 0, 0)",1.875
34,9/8,12/8,V7(4),4.0,1.125,1.5,0.0,I,0.375,0.9375,1.6875,"(0, 0, 0)",1.6875
34,11/8,12/8,V7,4.0,1.375,1.5,0.0,I,-0.5625,-0.1875,0.75,"(0, 0, 0)",0.75
35,0,12/8,I[I|PAC}{,3.0,0.0,1.5,-1.0,S,0.375,-0.1875,-0.375,"(0, 0, -1)",-0.375
35,1/4,12/8,IV,2.0,0.25,1.5,-1.0,S,0.1875,0.5625,0.375,"(0, -1, -1)",0.375
35,3/8,12/8,I6,3.0,0.375,1.5,1.0,W,0.375,0.5625,1.125,"(-1, -1, 1)",1.125
35,5/8,12/8,ii7,5.0,0.625,1.5,2.0,A,0.1875,0.5625,1.125,"(-1, 1, 2)",1.125
35,3/4,12/8,I,3.0,0.75,1.5,-2.0,A,0.375,0.5625,1.125,"(1, 2, -2)",1.125
35,1,12/8,IV6,2.0,1.0,1.5,-1.0,S,0.1875,0.5625,1.125,"(2, -2, -1)",1.125
35,9/8,12/8,I,3.0,1.125,1.5,1.0,W,0.375,0.5625,1.125,"(-2, -1, 1)",1.125
35,11/8,12/8,ii6,5.0,1.375,1.5,2.0,A,-0.5625,-0.1875,0.375,"(-1, 1, 2)",0.375
36,0,12/8,I,3.0,0.0,1.5,-2.0,A,0.5625,0.0,-0.1875,"(1, 2, -2)",-0.1875
36,3/8,12/8,IV6,2.0,0.375,1.5,-1.0,S,0.375,0.9375,0.9375,"(2, -2, -1)",0.9375
36,5/8,12/8,I6,3.0,0.625,1.5,1.0,W,0.1875,0.5625,1.5,"(-2, -1, 1)",1.5
36,3/4,12/8,IV,2.0,0.75,1.5,-1.0,S,0.75,0.9375,1.5,"(-1, 1, -1)",1.5
36,5/4,12/8,IV6,2.0,1.25,1.5,0.0,I,0.1875,0.9375,1.875,"(1, -1, 0)",1.875
36,11/8,12/8,V7(9),4.0,1.375,1.5,2.0,A,-0.5625,-0.375,0.5625,"(-1, 0, 2)",0.5625
37,0,12/8,I(64)},3.0,0.0,1.5,-1.0,S,1.125,0.5625,0.1875,"(0, 2, -1)",0.1875
37,3/4,12/8,I]|PAC,3.0,0.75,1.5,0.0,I,0.375,1.5,2.0625,"(2, -1, 0)",2.0625
38,0,12/8,,,0.0,1.5,,,,,,,
