mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
18	18	5/8	5/8	12/8	2	1	#viio6					A	ii		#viio6	#vii	o	6.0					o	0	1	7, 4, 10		10	7	0	2	0.0	0.0	0.25	0.0
18	18	3/4	3/4	12/8	2	1	i					A	ii		i	i							m	0	1	5, 2, 6		5	5	1	4	0.2	0.125	1.25	0.0909090909090909
18	18	9/8	9/8	12/8	2	1	i6					A	ii		i6	i		6.0					m	0	1	2, 6, 5		5	2	1	2	0.3333333333333333	0.125	0.25	0.3333333333333333
19	19	0	0	12/8	2	1	VI					A	ii		VI	VI							M	0	1	1, 5, 2		1	1	1	3	0.25	0.125	0.625	0.1666666666666666
19	19	3/8	3/8	12/8	2	1	iv					A	ii		iv	iv							m	0	1	4, 1, 5		4	4	1	3	0.25	0.125	0.625	0.1666666666666666
19	19	3/4	3/4	12/8	2	1	ii					A	ii		ii	ii							m	0	1	7, 4, 8		7	7	4	3	0.5714285714285714	1.125	0.375	0.75
20	20	0	0	12/8	2	1	V					A	ii		V	V							M	0	1	6, 10, 7		6	6	2	5	0.2857142857142857	0.25	1.25	0.1666666666666666
20	20	3/8	3/8	12/8	2	1	i					A	ii		i	i							m	0	1	5, 2, 6		5	5	0	2	0.0	0.0	0.25	0.0
20	20	1/2	1/2	12/8	2	1	V65					A	ii		V65	V		65.0					Mm7	0	1	10, 7, 4, 6		6	10	0	4	0.0	0.0	0.5	0.0
20	20	3/4	3/4	12/8	2	1	i6					A	ii		i6	i		6.0					m	0	1	2, 6, 5		5	2	3	5	0.375	0.375	1.375	0.2142857142857142
20	20	11/8	11/8	12/8	2	1	V65/iv	-2.0	-6.6	/		A	ii		V65/iv	V		65.0		iv			Mm7	0	1	9, 6, 3, 5		5	9	0	2	0.0	0.0	0.25	0.0
21	21	0	0	12/8	2	1	iv					A	ii		iv	iv							m	0	1	4, 1, 5		4	4	2	3	0.4	0.25	1.0	0.2
21	21	1/4	1/4	12/8	2	1	iv6					A	ii		iv6	iv		6.0					m	0	1	1, 5, 4		4	1	0	2	0.0	0.0	0.25	0.0
21	21	3/8	3/8	12/8	2	1	i64					A	ii		i64	i		64.0					m	0	1	6, 5, 2		5	6	0	2	0.0	0.0	0.25	0.0
21	21	1/2	1/2	12/8	2	1	ii%65/iv					A	ii		ii%65/iv	ii	%	65.0		iv			%7	0	1	3, 0, 4, 6		6	3	2	2	0.5	0.25	0.25	0.5
21	21	3/4	3/4	12/8	2	1	i6					A	ii		i6	i		6.0					m	0	1	2, 6, 5		5	2	0	4	0.0	0.0	0.875	0.0
21	21	1	1	12/8	2	1	iv					A	ii		iv	iv							m	0	1	4, 1, 5		4	4	0	2	0.0	0.0	0.25	0.0
